City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,lagoa,39.05,-27.9833,66.42,92,98,14.83,PT,1667572501
240,lompoc,34.6391,-120.4579,55.78,88,0,3.44,US,1667572501
241,bermejo,-32.8833,-68.8,73.31,18,0,6.91,AR,1667572502
242,semnan,35.5729,53.3971,62.44,27,20,2.3,IR,1667572502
243,turlock,37.4947,-120.8466,43.02,93,0,4.61,US,1667572502
244,kenai,60.5544,-151.2583,26.15,72,75,5.75,US,1667572503
245,tiksi,71.6872,128.8694,2.21,89,92,7.56,RU,1667572273
246,teya,60.3778,92.6267,25.66,99,100,2.13,RU,1667572503
247,lebu,-37.6167,-73.65,58.78,75,100,8.72,CL,1667572268
248,bethel,41.3712,-73.414,60.67,93,40,0.0,US,1667572276
249,haapiti,-17.5667,-149.8667,74.93,78,77,21.63,PF,1667572504
250,kemijarvi,66.7131,27.4306,39.63,97,100,9.24,FI,1667572504
251,suntar,62.1444,117.6319,15.17,91,100,10.83,RU,1667572504
252,henties bay,-22.116,14.2845,63.64,69,0,9.37,NA,1667572505
253,labuhan,-6.8844,112.2051,82.56,74,100,3.15,ID,1667572505
254,san quintin,30.4833,-115.95,57.52,45,3,3.02,MX,1667572505
255,kedrovoye,57.1576,60.5698,31.55,95,100,10.29,RU,1667572506
256,yellowknife,62.456,-114.3525,14.52,85,75,11.5,CA,1667572224
257,saint-paul,-21.0096,55.2707,77.11,78,100,0.69,RE,1667572187
258,cabinda,-5.55,12.2,81.18,75,64,9.33,AO,1667572506
259,taltal,-25.4,-70.4833,63.1,68,17,5.91,CL,1667572334
260,kodinsk,58.6881,99.1844,24.8,99,100,1.12,RU,1667572508
261,allapalli,19.4167,80.0667,67.06,73,0,1.99,IN,1667572508
262,vallenar,-28.5708,-70.7581,75.16,31,68,6.87,CL,1667572508
263,port hardy,50.6996,-127.4199,39.38,100,100,12.66,CA,1667571980
264,san isidro,-12.1167,-77.05,62.19,77,100,10.36,PE,1667572509
265,asyut,27.181,31.1837,78.98,29,0,10.47,EG,1667572509
266,itarema,-2.9248,-39.9167,88.14,51,52,11.25,BR,1667572509
267,mackay,-21.15,149.2,62.69,63,0,15.75,AU,1667572510
268,chapadinha,-3.7417,-43.3603,83.82,73,90,3.47,BR,1667572510
269,praia da vitoria,38.7333,-27.0667,73.65,83,40,11.86,PT,1667572510
270,narsaq,60.9167,-46.05,46.62,74,100,6.24,GL,1667572511
271,meghraj,23.5,73.5,80.58,31,0,1.28,IN,1667572511
272,broome,42.2506,-75.833,59.77,71,0,8.05,US,1667572280
273,aleksandrov gay,50.147,48.5704,40.01,75,100,5.53,RU,1667572512
274,wajima,37.4,136.9,52.83,62,94,10.0,JP,1667572512
